Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
35.16,22.57,114.6,113.93879466148272,1024.6762820999572
35.14,22.46,114.4,113.74000367914925,1024.6916730067887
35.15,22.47,114.8,114.13758545143891,1024.6981377521633
35.14,22.47,115.6,114.93274668751334,1024.6940141624564
35.14,22.43,115.5,114.83335170133076,1024.7049887303183
35.14,22.4,115.9,115.23093135750435,1024.7152675202326
35.14,22.41,116.4,115.72790484564129,1024.714583711381
35.15,22.43,117.0,116.32427144437821,1024.7190685732132
35.13,22.3,117.1,116.42366570918195,1024.741314004435
35.13,22.32,117.7,117.02003028810233,1024.7382306131085
35.12,22.29,118.0,117.31821192834619,1024.740462099665
35.13,22.29,118.2,117.5169994480609,1024.748916703333
35.13,22.5,118.6,117.91457391042039,1024.6908482178076
35.1,22.47,119.3,118.61032736814052,1024.6796846846446
35.12,22.28,119.4,118.70972052689143,1024.7493631220752
35.13,22.2,119.7,119.00789971461946,1024.7809334946726
35.12,22.2,120.3,119.60425679172664,1024.7759423864277
35.13,22.14,121.0,120.30000452709417,1024.8035429107154
35.12,22.18,121.2,120.49878916157218,1024.7855029753487
35.12,22.16,121.7,120.99574990628172,1024.7933281431033
35.12,22.16,122.0,121.29392577609448,1024.7946275466613
35.11,22.12,122.0,121.29392577609448,1024.7983465026696
35.12,22.08,122.5,121.79088459743967,1024.8194001072882
35.12,22.1,122.8,122.08905931324735,1024.815052791044
35.12,22.1,123.4,122.68540744663176,1024.8176519343124
35.12,22.09,123.8,123.08297190724761,1024.822208676631
35.12,22.06,124.0,123.28175384906683,1024.831542298159
35.12,22.04,124.7,123.97748913088743,1024.8402158220786
35.12,22.05,125.7,124.97139258954945,1024.8417280282079
35.11,22.03,125.7,124.97139258954945,1024.8397758151891
35.12,22.02,126.0,125.26956268960731,1024.8514859399847
35.12,22.0,125.9,125.17017270433313,1024.8566874655287
35.11,21.99,126.7,125.96529124034295,1024.8553776391004
35.11,21.97,127.5,126.76040669940713,1024.864473934775
35.12,21.97,126.7,125.96529124034295,1024.8686000598302
35.11,21.95,127.9,127.15796327510708,1024.8718340286457
35.11,21.89,128.2,127.45613020208793,1024.8899955059244
35.11,21.87,128.8,128.052462758024,1024.8982100002986
35.1,21.9,129.2,128.45001683382645,1024.8839275906005
35.11,21.89,129.5,128.74818188590336,1024.8956294662269
35.1,21.89,129.6,128.8475701404488,1024.8884693257678
35.1,21.79,130.4,129.64267444618935,1024.9199753614846
35.1,21.78,130.9,130.13961307493048,1024.9249423005765
35.1,21.71,131.3,130.53716311263807,1024.9462505647477
35.1,21.74,131.5,130.7359378430665,1024.9387335020022
35.1,21.74,132.1,131.3322608806639,1024.9413346896283
35.1,21.72,132.5,131.7298086110002,1024.948659300945
35.11,21.69,133.1,132.32612876443426,1024.967236651671
35.09,21.67,133.6,132.82306090375081,1024.9597946024553
35.1,21.66,134.0,133.22060574998713,1024.9719155420785
35.1,21.7,134.2,133.41937788470275,1024.961617143363
35.1,21.66,135.0,134.214464500908,1024.9762515290415
35.09,21.67,135.2,134.41323567430064,1024.966732101985
35.1,21.62,135.8,135.00954804091566,1024.9908736381851
35.09,21.64,135.9,135.10893326712508,1024.9781354705192
35.09,21.66,136.4,135.60585867721014,1024.9747253727367
35.1,21.65,137.1,136.30155223266127,1024.9881465229826
35.1,21.61,137.5,136.69909034982382,1025.0010317871684
35.09,21.63,137.8,136.99724343304356,1024.9891620177586
35.1,21.58,138.3,137.49416427717878,1025.0128557571768
35.09,21.61,138.8,137.99108391979044,1024.9990719196928
35.09,21.53,139.1,138.28923512863344,1025.0226360614558
35.09,21.56,139.8,138.98491960051365,1025.0173291375438
35.1,21.57,140.1,139.28306936757704,1025.0234450092064
35.09,21.53,140.8,139.97875047535402,1025.0300090495086
35.09,21.53,140.9,140.07813329851993,1025.0304427467343
35.09,21.57,141.3,140.47566411061214,1025.0210513613572
35.08,21.56,141.9,141.0719588870518,1025.018838575122
35.09,21.51,141.9,141.0719588870518,1025.0403380268674
35.08,21.5,142.2,141.37010562651543,1025.0368188229013
35.08,21.52,143.2,142.36392496781139,1025.0355992876696
35.08,21.4,143.2,142.36392496781139,1025.0688910706713
35.08,21.38,144.3,143.45712069300055,1025.079200687246
35.08,21.39,144.4,143.55650183424544,1025.0768661680438
35.07,21.39,144.7,143.8546449696665,1025.0705679244297
35.08,21.42,145.2,144.35154923433151,1025.0720265591856
35.1,21.3,145.7,144.84845229771597,1025.122595400314
35.06,21.39,146.4,145.54411456833614,1025.0703434065092
35.07,21.37,146.6,145.74287478463683,1025.084346783236
35.07,21.16,147.0,146.14039464064825,1025.1440161050232
35.07,21.2,147.1,146.239774484529,1025.1334427844718
35.05,21.23,147.4,146.53791372788058,1025.1112769770534
35.06,21.18,148.2,147.33294959604402,1025.1361201587893
35.06,21.19,148.4,147.53170808261206,1025.1342360024018
35.07,21.21,148.7,147.829845452114,1025.1376331678082
35.08,21.23,149.6,148.72425496613494,1025.1436302065247
35.07,21.08,149.7,148.82363356079912,1025.1777141397142
35.05,21.07,149.6,148.72425496613494,1025.16481544186
35.04,21.21,150.5,149.61866058850825,1025.122639366803
35.06,21.19,151.0,150.11555091939942,1025.1455207827798
35.06,21.21,151.4,150.51306231933646,1025.1417491750487
35.06,21.05,151.7,150.81119536484246,1025.1870218033598
35.05,20.98,152.1,151.2087054195954,1025.2003250802697
35.05,21.05,152.2,151.30808281317948,1025.1815884871612
35.06,20.99,153.2,152.30185410676813,1025.2099705501357
35.05,20.93,153.3,152.40123097190488,1025.2192057481386
35.04,20.91,153.9,152.99749115389386,1025.2196677409918
35.04,20.85,154.3,153.394996981105,1025.2377715977955
35.03,20.92,154.8,153.8918781842556,1025.213240163748
35.04,21.0,155.6,154.6868856113427,1025.2024448856969
35.05,20.98,155.7,154.78626132356243,1025.2159579070528
35.04,20.87,155.9,154.98501260389278,1025.2392692892724
35.03,20.74,156.1,155.18376369207846,1025.2679132955411
35.03,20.74,156.4,155.48188996408814,1025.2692168575172
35.02,20.85,156.8,155.87939098760526,1025.233417827898
35.03,20.75,157.0,156.07814121115388,1025.2691070910264
35.03,20.73,157.3,156.3762661862175,1025.275843577623
35.03,20.84,157.5,156.57501592942197,1025.246790362505
35.02,20.82,157.9,156.97251483942514,1025.2463686776268
35.03,20.7,158.4,157.4693873961798,1025.2887669978686
35.03,20.7,158.2,157.27063851757686,1025.287897897247
35.02,20.81,158.7,157.76751035383958,1025.2525666396043
35.03,20.82,158.6,157.66813608265207,1025.257016652178
35.0,20.85,159.0,158.06563287920943,1025.2277610944566
35.03,20.83,159.6,158.66187663309418,1025.2586369188732
35.04,20.81,159.0,158.06563287920943,1025.2690843555665
35.04,20.79,160.3,159.35749216055314,1025.2801754073523
35.03,20.8,159.7,158.76125042396575,1025.2672400814026
35.04,20.81,160.0,159.05937150839623,1025.2734283831696
35.03,20.81,160.4,159.456865615212,1025.2675587988715
35.04,20.77,160.2,159.25811865786432,1025.2851815190043
35.01,20.69,160.5,159.55623902184098,1025.2853877709817
35.02,20.73,160.6,159.65561238044026,1025.2825740648436
35.03,20.76,160.4,159.456865615212,1025.2811615567807
35.04,20.67,161.5,160.54997044652094,1025.317984227673
35.01,20.54,161.3,160.35122454581574,1025.3294603323018
35.01,20.53,161.5,160.54997044652094,1025.333029642092
34.98,20.6,161.9,160.947461671593,1025.2930218937381
35.04,20.51,161.8,160.84808893736698,1025.3625656630447
34.99,20.61,162.5,161.5436970683722,1025.3005343910982
35.01,20.64,162.9,161.94118637235226,1025.3093703672644
35.01,20.64,162.6,161.6430694664072,1025.3080665850766
35.02,20.65,162.9,161.94118637235226,1025.3142706110475
35.02,20.64,163.0,162.04055857828112,1025.3174144145432
35.01,20.64,163.4,162.4380469217362,1025.311543319849
35.01,20.48,163.4,162.4380469217362,1025.3547775811535
35.0,20.42,163.8,162.8355344967815,1025.3650628733867
34.99,20.33,163.6,162.63679080530946,1025.3807602180184
35.0,20.37,164.0,163.03427799615324,1025.3793749740457
35.01,20.46,164.1,163.1336496738019,1025.3632106673545
35.0,20.5,164.3,163.33239288502546,1025.3456861703385
35.0,20.48,165.0,164.0279926115484,1025.3541222841206
35.0,20.49,164.7,163.72987873118151,1025.3501219836633
35.0,20.47,165.2,164.22673495834258,1025.3576870433465
35.0,20.45,165.1,164.1273638089571,1025.3626401971233
35.0,20.47,165.3,164.32610605970495,1025.3581218257232
34.99,20.22,165.4,164.42547711304442,1025.4180541115918
34.99,20.1,165.6,164.62421907565505,1025.4509535927575
34.97,20.11,166.3,165.31981443209042,1025.4361014790184
34.97,20.25,166.3,165.31981443209042,1025.3987138093698
34.98,20.17,166.4,165.4191850052082,1025.428149329128
34.97,20.19,166.8,165.81666681746685,1025.416932598957
34.96,20.1,166.7,165.71729643643374,1025.43288965922
34.97,20.17,167.0,166.01540743547056,1025.4231441199643
34.98,20.14,167.1,166.1147776724416,1025.4392015367982
34.97,20.15,167.2,166.21414786139212,1025.4293524253135
34.99,20.1,167.0,166.01540743547056,1025.4570468162794
34.97,20.09,167.0,166.01540743547056,1025.4444760845988
34.99,20.03,166.7,165.71729643643374,1025.474370768972
34.95,20.12,167.2,166.21414786139212,1025.4221196949006
35.01,19.84,167.1,166.1147776724416,1025.5417164763635
34.94,19.96,167.2,166.21414786139212,1025.4570407006959
34.94,19.99,167.0,166.01540743547056,1025.4482102839097
35.0,19.96,167.4,166.4128880952327,1025.5036268576073
34.96,20.07,167.1,166.1147776724416,1025.4426185151249
34.93,20.11,167.1,166.1147776724416,1025.4091157586522
34.97,20.08,167.1,166.1147776724416,1025.447574112321
34.97,20.06,167.5,166.5122581401229,1025.454638314936
34.97,20.05,167.1,166.1147776724416,1025.4555574804563
34.97,20.06,167.3,166.3135180023225,1025.4537677526134
34.97,20.04,167.0,166.01540743547056,1025.457781636053
34.97,20.04,166.8,165.81666681746685,1025.4569110154848
34.97,20.03,167.3,166.3135180023225,1025.4617462201793
34.98,20.01,167.4,166.4128880952327,1025.4751148765492
34.97,20.22,167.1,166.1147776724416,1025.4102198294163
34.97,20.05,167.5,166.5122581401229,1025.4572986580035
35.0,20.11,167.3,166.3135180023225,1025.4633047793382
34.95,20.27,167.8,166.81036798667495,1025.3846559291371
34.96,20.09,167.8,166.81036798667495,1025.4403408313378
34.97,20.08,167.4,166.4128880952327,1025.4488798858329
34.96,20.23,167.7,166.71099808584387,1025.4025407917886
34.98,20.2,168.0,167.009107644279,1025.4270976349667
34.97,20.15,167.7,166.71099808584387,1025.4315282750335
35.01,20.14,167.6,166.6116281369932,1025.4642271921055
34.97,20.22,167.5,166.5122581401229,1025.4119601711839
35.0,20.17,167.4,166.4128880952327,1025.4477330301481
34.97,20.23,167.3,166.3135180023225,1025.4084156084828
34.96,20.27,167.4,166.4128880952327,1025.3905302734508
34.97,20.25,167.8,166.81036798667495,1025.405239573794
34.99,20.22,167.4,166.4128880952327,1025.4267557528333
34.98,20.22,167.3,166.3135180023225,1025.4187053196304
34.98,20.22,167.2,166.21414786139212,1025.41827023943
34.98,20.35,166.7,165.71729643643374,1025.381262260646
34.98,20.22,167.6,166.6116281369932,1025.4200105549037
34.98,20.14,167.7,166.71099808584387,1025.441812598683
34.98,20.15,167.7,166.71099808584387,1025.4391446239658
35.0,20.15,167.5,166.5122581401229,1025.4535071447356
34.95,20.35,167.3,166.3135180023225,1025.3610318306676
34.97,20.41,167.8,166.81036798667495,1025.362309536927
35.04,20.43,167.4,166.4128880952327,1025.4084751575435
35.0,20.51,167.3,166.3135180023225,1025.35603046792
34.98,20.2,167.6,166.6116281369932,1025.4253572357263
34.98,20.22,167.9,166.90973783948664,1025.421315782186
35.0,20.42,167.9,166.90973783948664,1025.3828912153897
34.99,20.29,168.1,167.10847740105226,1025.4110603433971
35.0,20.3,167.7,166.71099808584387,1025.4142540608411
34.97,20.29,167.8,166.81036798667495,1025.3945268782013
34.98,20.26,168.1,167.10847740105226,1025.4114824023088
34.96,20.33,168.0,167.009107644279,1025.3770572753397
34.96,20.35,167.6,166.6116281369932,1025.3699499061797
35.02,20.26,168.0,167.009107644279,1025.441506504601
35.01,20.26,168.5,167.50595594795658,1025.4360666866933
34.99,20.18,168.2,167.20784710980644,1025.4409272592768
35.02,20.14,168.2,167.20784710980644,1025.4744547641446
35.0,20.05,167.9,166.90973783948664,1025.4818934900645
34.99,19.93,168.0,167.009107644279,1025.5065746201553
34.95,20.05,168.3,167.30721677054183,1025.4455454466029
34.95,20.13,168.5,167.50595594795658,1025.425111520837
35.0,20.05,168.1,167.10847740105226,1025.4827640321996
34.97,20.12,168.1,167.10847740105226,1025.4412700741818
34.97,20.09,168.4,167.40658638325846,1025.4505694658753
34.98,20.01,167.8,166.81036798667495,1025.4768562182417
34.96,19.99,167.9,166.90973783948664,1025.4673660453288
34.96,20.01,168.1,167.10847740105226,1025.4629253738146
34.96,20.04,167.9,166.90973783948664,1025.454081427649
34.97,20.04,167.5,166.5122581401229,1025.4599581719224
34.96,20.05,168.1,167.10847740105226,1025.452292603379
34.97,20.0,167.8,166.81036798667495,1025.471893992564
34.97,19.94,168.1,167.10847740105226,1025.4891202344932
34.96,19.97,168.0,167.009107644279,1025.4731094766807
34.97,20.0,167.5,166.5122581401229,1025.47058793342
34.98,19.95,168.1,167.10847740105226,1025.4940882963297
34.96,19.95,168.2,167.20784710980644,1025.4792850519277
34.94,19.93,168.1,167.10847740105226,1025.4689119799973
34.96,19.87,168.0,167.009107644279,1025.4995999546509
34.97,19.8,167.8,166.81036798667495,1025.5248442153643
34.94,19.82,168.2,167.20784710980644,1025.4984427377547
34.96,19.88,167.9,166.90973783948664,1025.4965191418873
34.95,19.87,168.1,167.10847740105226,1025.4924149879619
34.94,19.91,168.4,167.40658638325846,1025.475515923059
34.94,19.97,167.8,166.81036798667495,1025.4570007688787
34.95,19.94,168.3,167.30721677054183,1025.4747522218636
34.96,19.93,168.3,167.30721677054183,1025.485021961522
34.95,19.87,167.7,166.71099808584387,1025.4906728938058
34.95,19.86,167.8,166.81036798667495,1025.4937527178188
34.95,19.93,168.4,167.40658638325846,1025.4778378468068
