Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.57,29.1,3.4,3.381294270407953,1021.7247273541972
34.57,29.1,3.7,3.679641086827814,1021.7260111509728
34.58,29.1,4.0,3.9779874689898493,1021.7348002884466
34.58,29.1,4.3,4.276333416897879,1021.7360840543324
34.57,29.1,4.6,4.574678930555719,1021.7298624943481
34.54,29.1,4.9,4.87302400996719,1021.7086306135964
34.54,29.1,5.3,5.270816773694729,1021.710342349684
34.55,29.1,5.7,5.6686087654445565,1021.7195592029373
34.56,29.1,6.1,6.066399985225721,1021.7287760453295
34.57,29.11,6.5,6.464190433047279,1021.7346484652364
34.58,29.1,6.9,6.861980108918274,1021.7472096975748
34.58,29.1,7.4,7.359216118215326,1021.7493491769754
34.57,29.09,7.9,7.856450921371443,1021.747327271153
34.56,29.07,8.3,8.254237895486735,1021.7482188769892
34.58,29.06,8.7,8.65202409769219,1021.76828317901
34.58,29.05,9.1,9.049809527996851,1021.7733358877442
34.56,29.04,9.5,9.447594186409772,1021.763376432991
34.57,28.99,10.0,9.944823923966947,1021.7897121829623
34.61,28.88,10.6,10.54149801705238,1021.8589652081819
34.61,28.78,11.2,11.138170373457747,1021.8947837639572
34.62,28.72,11.7,11.635396010520305,1021.9243489296856
34.63,28.71,12.1,12.033175651857457,1021.9368878942583
34.61,28.7,12.5,12.43095452137073,1021.9268970974068
34.58,28.67,13.0,12.928177022898774,1021.9164514560565
34.58,28.62,13.6,13.52484243288922,1021.9355768071636
34.6,28.56,14.2,14.121506106352273,1021.9730118813255
34.63,28.54,14.8,14.718168043318475,1022.0047249373422
34.62,28.56,15.4,15.31482824381835,1021.9931731923414
34.58,28.56,15.9,15.81204375112295,1021.9652698358423
34.57,28.52,16.5,16.40870076818054,1021.9735427740222
34.57,28.46,17.1,17.005356048858324,1021.9959122353406
34.57,28.42,17.6,17.502567456377253,1022.0112390693984
34.58,28.39,18.1,17.99977765811575,1022.0307749761153
34.6,28.38,18.6,18.49698665409147,1022.0512353197048
34.6,28.36,19.1,18.994194444322083,1022.0599602954994
34.56,28.32,19.6,19.49140102882526,1022.0452051577704
34.53,28.28,20.1,19.988606407618665,1022.037949466643
34.54,28.27,20.5,20.386369842554227,1022.0504611611889
34.56,28.26,20.9,20.78413250585589,1022.0704865996189
34.57,28.25,21.4,21.28133474988658,1022.0834259839736
34.57,28.22,21.9,21.778535788271093,1022.0954126484778
34.57,28.2,22.4,22.275735621027106,1022.1041143129627
34.58,28.19,22.9,22.77293424817229,1022.1170503149169
34.6,28.18,23.4,23.270131669724297,1022.1375010510142
34.61,28.16,23.8,23.667888738950698,1022.1532847116283
34.61,28.15,24.2,24.06564503661781,1022.1582748355266
34.6,28.14,24.7,24.56283932371024,1022.1561771231983
34.6,28.14,25.2,25.060032405273102,1022.1583196006122
34.6,28.15,25.7,25.55722428132405,1022.1571865996076
34.6,28.12,26.1,25.9549769142081,1022.1687247558575
34.62,28.09,26.6,26.452166620382116,1022.1957172417627
34.62,28.09,27.1,26.949355121093678,1022.1978597900928
34.63,28.1,27.6,27.44654241636045,1022.2042462318624
34.63,28.1,28.1,27.943728506200088,1022.2063886699401
34.64,28.09,28.6,28.44091339063027,1022.219319583819
34.65,28.07,29.0,28.838660430291462,1022.2350926814903
34.66,28.06,29.3,29.136970203778247,1022.2471651241121
34.66,28.07,29.7,29.534715893422387,1022.245608533578
34.67,28.06,30.2,30.031896920660962,1022.2585380871329
34.68,28.04,30.7,30.529076742564257,1022.2747365744771
34.68,28.03,31.2,31.02625535914992,1022.2801476803055
34.68,28.02,31.6,31.423997384601638,1022.2851296087706
34.68,28.02,31.9,31.722303397469886,1022.286415090017
34.68,28.03,32.3,32.12004407300739,1022.2848610209411
34.68,28.02,32.8,32.61721883269534,1022.2902714867541
34.68,28.0,33.3,33.11439238713986,1022.2989478973018
34.69,27.98,33.8,33.61156473635857,1022.3151388962108
34.7,27.96,34.2,34.009301747982846,1022.330899020557
34.71,27.94,34.7,34.506471927839634,1022.3470852855335
34.71,27.92,35.2,35.00364090252009,1022.3557509938197
34.71,27.91,35.7,35.50080867204185,1022.3611541254282
34.7,27.91,36.3,36.09740840468336,1022.3562071070224
34.71,27.93,36.9,36.69400640195232,1022.3597745618091
34.71,27.94,37.4,37.19117007406663,1022.3586549730619
34.7,27.95,37.8,37.588900144098936,1022.3495883947718
