Salinity[psu],Temperature[celsius],Pressure[dbar],Density[kg_m3],Depth[m]
24.8597,16.1075,25.5266,1018.0571694885733,25.38479827525064
24.7905,15.9981,25.8515,1018.028789443331,25.70787318179669
25.0629,15.9818,26.407,1018.2433109498535,26.260251536649623
25.1566,15.9186,27.0698,1018.331385208868,26.91932496985648
24.7492,15.9551,27.5673,1018.0139209237193,27.41402640408976
24.8603,15.9523,28.0808,1018.1018900986453,27.9246365826055
24.7949,15.928,28.3723,1018.0582296472369,28.214495543736945
25.1354,15.9268,28.6101,1018.3203230314929,28.450956512875315
29.5812,15.6867,28.964,1021.7823385841483,28.802863228312628
31.7171,15.7044,29.4035,1023.4210299543274,29.239886974953315
31.746,15.4475,29.6037,1023.5005433395132,29.438958689145153
31.7568,15.465,29.8169,1023.5059724763627,29.650956925552098
31.7872,15.3017,29.9314,1023.5654383453135,29.76481142266243
31.7569,15.3814,30.133,1023.5256976939004,29.965274732947343
31.7502,15.4069,29.9996,1023.5143943173869,29.832626909681
31.7463,15.3738,29.8923,1023.518129580298,29.725931859140545
31.7712,15.3463,29.7052,1023.5424322775252,29.539886582308284
31.7728,15.0961,29.4876,1023.5968243710198,29.323513028279486
31.7992,15.1552,29.3643,1023.603856497428,29.20090787542523
31.8033,15.077,29.4528,1023.6242513876862,29.28890914828045
31.8037,15.0806,29.447,1023.6237591489391,29.283141834379602
31.8042,15.1376,29.5384,1023.6122756655972,29.374026727680164
31.7793,15.2705,29.4572,1023.5640202114392,29.293284351821175
31.817,14.9073,29.6979,1023.6722520733911,29.532627730566123
31.8055,15.0024,29.8821,1023.643874611299,29.71578936309652
31.8296,14.7757,29.8546,1023.7106697474724,29.688444395772628
31.8216,14.8827,29.8024,1023.6815089530442,29.636538665950322
31.8311,14.7167,29.8183,1023.7241716543869,29.65234903332206
31.8383,14.6656,29.7632,1023.7402799028788,29.59755964181434
31.824,14.7513,29.8459,1023.7114944981914,29.679793441714565
31.8381,14.7397,29.8473,1023.7248205690825,29.681185549288777
31.8295,14.7573,29.9343,1023.7148525294673,29.767695072860207
31.8355,14.7585,29.9024,1023.7190771390332,29.7359749184546
31.8338,14.7132,29.8299,1023.7270442390935,29.663883640195326
31.8327,14.7203,29.7632,1023.7243961243314,29.59755964181434
31.8372,14.715,29.7719,1023.72902356573,29.60621059934134
31.8321,14.7383,29.7356,1023.7199975701687,29.5701152224169
31.8181,14.8407,29.8647,1023.6880406004693,29.698487456922503
