Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
31.4,26.91,2.0,1.9890033851496218,1020.0478772043583
31.43,26.91,2.0,1.9890033851496218,1020.0704318432146
31.41,26.91,2.0,1.9890033851496218,1020.0553953764893
31.41,26.91,2.1,2.088453047738327,1020.0558267901714
31.42,26.91,2.1,2.088453047738327,1020.0633449978399
31.46,26.91,2.5,2.4862512155632412,1020.0951437771994
31.47,26.91,2.2,2.1879026620739,1020.1013680298878
31.47,26.91,2.2,2.1879026620739,1020.1013680298878
31.48,26.91,2.5,2.4862512155632412,1020.1101805996196
31.49,26.91,2.6,2.5857006368877005,1020.118130439191
31.52,26.91,2.6,2.5857006368877005,1020.1406860863113
31.52,26.91,2.7,2.6851500099597345,1020.1411174366392
31.55,26.91,3.0,2.9834978396627014,1020.1649674343768
31.59,26.91,3.1,3.0829470197264497,1020.1954739202062
31.59,26.91,3.2,3.18239615153848,1020.1959052291916
31.61,26.91,3.3,3.2818452350989347,1020.211374339458
31.62,26.91,3.3,3.2818452350989347,1020.2188933020298
31.66,26.91,3.5,3.4807432574656785,1020.249832102171
31.69,26.91,3.6,3.580192196272251,1020.2728209494556
31.72,26.91,3.7,3.679641086827814,1020.2958101338241
31.78,26.91,3.9,3.8785387231864714,1020.3417895147795
31.84,26.91,4.0,3.9779874689898493,1020.3873390777611
31.91,26.91,4.2,4.176884815845412,1020.4408413043617
31.97,26.91,4.3,4.276333416897879,1020.4863939172767
32.03,26.91,4.4,4.375781969700325,1020.5319479533586
32.1,26.92,4.5,4.475230474252892,1020.5818736833871
32.18,26.92,4.9,4.87302400996719,1020.6437651093804
32.28,26.92,5.0,4.97247227327248,1020.719408960012
32.39,26.92,4.9,4.87302400996719,1020.8017170656052
32.48,26.92,5.0,4.97247227327248,1020.8698471981666
32.55,26.92,5.2,5.171368655136106,1020.9233660781235
32.62,26.92,5.4,5.370264844004742,1020.9768868561367
32.68,26.92,5.6,5.5691608398795145,1021.022886380114
32.75,26.92,5.8,5.768056642761556,1021.0764106798757
32.81,26.92,5.9,5.867504471830657,1021.1219825731722
32.87,26.92,5.9,5.867504471830657,1021.1671253140491
32.92,26.92,6.1,6.066399985225721,1021.2056065717848
32.97,26.92,6.4,6.364742893462609,1021.2445193196776
33.03,26.92,6.4,6.364742893462609,1021.2896659468144
33.08,26.92,6.6,6.5636379243850405,1021.3281502700295
33.13,26.92,6.8,6.762532762320396,1021.366635541179
33.19,26.92,6.9,6.861980108918274,1021.4122165246927
33.25,26.93,7.2,7.160321859234408,1021.4554939544901
33.3,26.93,7.4,7.359216118215326,1021.4939818450626
33.36,26.93,7.5,7.45866317533726,1021.5395661212265
33.41,26.93,7.7,7.657557144844779,1021.5780561480719
33.47,26.93,7.9,7.856450921371443,1021.6240733365463
33.52,26.93,8.1,8.055344504918384,1021.662565476737
33.58,26.93,8.3,8.254237895486735,1021.7085852286896
33.63,26.93,8.4,8.353684518404291,1021.7466493149125
33.67,26.93,8.8,8.751470527633701,1021.7784777933573
33.69,26.93,8.8,8.751470527633701,1021.7935319469565
33.71,26.93,9.0,8.950363242785892,1021.8094465245973
33.72,26.93,9.3,9.248701953689215,1021.8182640978539
33.75,26.93,9.5,9.447594186409772,1021.8417061578496
33.77,26.93,9.9,9.845378072940001,1021.8584812750829
33.79,26.93,9.9,9.845378072940001,1021.8735361693169
33.8,26.93,10.1,10.044269726751931,1021.8819238202506
33.81,26.93,10.3,10.243161187596584,1021.8903114896011
33.83,26.93,10.5,10.442052455475084,1021.9062267859172
33.84,26.93,10.8,10.740388995483782,1021.9150445668279
33.86,26.93,10.9,10.839834412338165,1021.9305299978598
33.87,26.93,11.3,11.237615597350224,1021.9397778511508
33.89,26.93,11.4,11.337060773002575,1021.9552634672044
33.91,26.93,11.7,11.635396010520305,1021.9716092296222
33.93,26.93,11.8,11.734840993213577,1021.987095122841
33.95,26.93,12.1,12.033175651857457,1022.0034411137226
33.96,26.93,12.4,12.331509876350408,1022.0122590957558
33.98,26.93,12.6,12.530399118152628,1022.0281752664717
33.98,26.93,12.8,12.729288167001709,1022.0290351704996
33.99,26.93,13.2,13.127065685844963,1022.0382831223138
34.0,26.93,13.4,13.325954155841401,1022.0466711921902
34.0,26.93,13.7,13.624286499057748,1022.0479609945615
34.01,26.93,14.0,13.922618408143522,1022.0567789875062
34.02,26.93,14.3,14.220949883102541,1022.0655969842342
34.03,26.93,14.4,14.320393611616929,1022.0735551644888
34.04,26.93,14.8,14.718168043318475,1022.0828030872353
34.04,26.93,15.0,14.91705496975763,1022.0836628900529
34.05,26.93,15.3,15.215384997655015,1022.0924808903422
34.06,26.93,15.5,15.41427144174736,1022.1008690091842
34.07,26.93,15.7,15.613157692902961,1022.1092571466849
34.08,26.93,16.2,16.110372476701126,1022.1189349141977
34.09,26.93,16.4,16.30925805258703,1022.1273230681207
34.11,26.93,16.7,16.60758605466938,1022.1436695833879
34.12,26.93,16.9,16.806471148228265,1022.1520578003748
34.12,26.93,17.2,17.104798426825393,1022.1533473227852
34.13,26.93,17.5,17.403125271336467,1022.1621653696492
34.14,26.93,17.7,17.60200959318682,1022.1705535961835
34.15,26.93,18.1,17.99977765811575,1022.1798014751025
34.16,26.93,18.3,18.198661401196578,1022.1881897251702
34.17,26.93,18.5,18.397544951356494,1022.1965779939915
34.18,26.93,18.8,18.695869914872134,1022.2053960761733
34.19,26.93,19.1,18.994194444322083,1022.2142141623101
34.2,26.93,19.4,19.292518539710148,1022.2230322524123
34.2,26.93,19.6,19.49140102882526,1022.2238918076048
34.21,26.94,19.9,19.78972440078534,1022.2295303905809
34.21,26.94,20.2,20.088047338693723,1022.2308196669007
34.22,26.94,20.5,20.386369842554227,1022.2396375764282
34.22,26.94,20.7,20.58525127065873,1022.240497073918
34.23,26.94,21.0,20.883573051114567,1022.249314971762
34.23,26.94,21.3,21.181894397532698,1022.2506041879134
34.24,26.94,21.6,21.480215309916943,1022.2594220662425
34.24,26.94,22.0,21.877975851272016,1022.2611409775063
34.25,26.94,22.2,22.076855832598994,1022.2695291098277
34.25,26.94,22.6,22.4746152165575,1022.2712479792369
34.25,26.94,22.8,22.673494619191278,1022.2721074086992
34.26,26.94,23.1,22.97181336146329,1022.2809252245096
34.26,26.94,23.6,23.469010300782973,1022.2830737436655
34.27,26.94,23.7,23.568449543978133,1022.2910321349577
34.27,26.94,24.1,23.96620603453422,1022.2927509101796
34.28,26.94,24.5,24.36396175353781,1022.3019983629882
34.28,26.94,24.8,24.662278036464617,1022.3032874090874
34.28,26.94,25.1,24.96059388540205,1022.304576447324
34.29,26.94,25.5,25.35834767556397,1022.3138238353625
34.29,26.94,25.6,25.457786002553966,1022.3142535043135
34.29,26.94,26.1,25.9549769142081,1022.316401835964
